,pPTEN,pPI3K,pAKT,pGSK3B,LPS,bpV,LY294002,HDACi,LiCl,ATP,ADP,P2Y12G
60.08560856085608,0.9786889337638692,0.8937449894337222,0.08226788858267364,0.4377648140969263,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
60.13551355135513,0.9786889200368437,0.8937449893769617,0.08226788745501844,0.4377649769588912,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
60.18541854185418,0.9786889064341252,0.893744989310111,0.08226788634257846,0.4377651383411155,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
60.235323532353235,0.9786888929547704,0.8937449892327959,0.08226788524545182,0.43776529825461863,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
60.28522852285228,0.978688879597853,0.8937449891446364,0.08226788416374041,0.43776545671021705,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
60.33513351335133,0.9786888663624637,0.893744989045248,0.08226788309755004,0.4377656137185241,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
60.38503850385038,0.97868885324771,0.8937449889342405,0.08226788204699037,0.4377657692899504,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
60.43494349434943,0.9786888402527164,0.8937449888112188,0.08226788101217496,0.4377659234347034,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
60.484848484848484,0.9786888273766241,0.8937449886757826,0.08226787999322117,0.4377660761627875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
60.53475347534753,0.9786888146185915,0.8937449885275265,0.0822678789902503,0.4377662274840043,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
60.58465846584658,0.9786888019777936,0.8937449883660398,0.08226787800338747,0.4377663774079522,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
60.63456345634563,0.9786887894520234,0.8937449881926935,0.08226787703180384,0.4377665259614703,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
60.68446844684468,0.9786887770382692,0.8937449880099028,0.08226787607411175,0.4377666731814402,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
